zakres,n_probek,czas_ms,pamiec_mb,blad_proc
1-10,10,1.572200,0.000076,84.0100
1-10,100,1.985900,0.000763,96.1224
1-10,1000,4.693300,0.007629,98.3272
1-10,10000,34.649800,0.076294,98.8048
1-10,100000,278.136200,0.762939,98.9374
1-100,10,2.212000,0.000076,84.2414
1-100,100,3.073500,0.000763,96.3492
1-100,1000,6.204000,0.007629,98.3013
1-100,10000,31.058700,0.076294,98.7776
1-100,100000,281.647800,0.762939,98.9395
1-1000,10,2.913600,0.000076,84.2341
1-1000,100,3.237700,0.000763,96.2190
1-1000,1000,5.478700,0.007629,98.3302
1-1000,10000,30.918800,0.076294,98.8057
1-1000,100000,280.928300,0.762939,98.9389
1-10000,10,1.764500,0.000076,84.4783
1-10000,100,3.196400,0.000763,96.1777
1-10000,1000,6.167100,0.007629,98.2999
1-10000,10000,30.667000,0.076294,98.8119
1-10000,100000,283.549700,0.762939,98.9372
1-100000,10,2.618400,0.000076,84.6050
1-100000,100,2.617500,0.000763,96.2241
1-100000,1000,6.302800,0.007629,98.3553
1-100000,10000,31.547000,0.076294,98.8073
1-100000,100000,281.610900,0.762939,98.9391
1-1000000,10,2.403200,0.000076,83.2484
1-1000000,100,2.852100,0.000763,96.3489
1-1000000,1000,6.403400,0.007629,98.3117
1-1000000,10000,30.683700,0.076294,98.8099
1-1000000,100000,290.486000,0.762939,98.9379
